Starting Comprehensive Audit...
runnerType,b,segment,inferred_ability,PB_5k_shift,LT_profile,recent_perf,recent_age,pred_5k,pred_10k,pred_half,pred_marathon,start_vdot,fc_4w,fc_8w,fc_16w,diff_5k_PB,diff_mar_PB,notes
Speed,1.15,intermediate,intermediate,-1%,None,Under,2,19:59,43:01,1:38:17,3:29:41,46.04,0.75,0.94,1.13,11.9,-1223.6,
Speed,1.15,intermediate,intermediate,-1%,None,Under,6,19:55,43:20,1:40:08,3:36:22,45.05,0.74,0.92,1.11,7.8,-823,
Speed,1.15,intermediate,novice,-1%,None,Under,10,19:49,43:47,1:42:49,3:46:31,43.69,0.81,1.27,1.72,1.9,-214.1,
Speed,1.15,intermediate,intermediate,-1%,None,Aligned,2,19:33,42:05,1:36:11,3:24:47,47.2,0.77,0.96,1.16,-14.6,-1518.3,
Speed,1.15,intermediate,intermediate,-1%,None,Aligned,6,19:38,42:43,1:38:46,3:33:04,45.77,0.75,0.93,1.13,-9.6,-1021.3,
Speed,1.15,intermediate,novice,-1%,None,Aligned,10,19:45,43:38,1:42:29,3:45:39,43.85,0.81,1.28,1.73,-2.3,-265.7,
Speed,1.15,intermediate,intermediate,-1%,None,Over,2,19:09,41:14,1:34:16,3:20:16,48.31,0.79,0.98,1.19,-38.9,-1788.5,
Speed,1.15,intermediate,intermediate,-1%,None,Over,6,19:22,42:10,1:37:30,3:30:02,46.46,0.76,0.95,1.14,-25.5,-1203,
Speed,1.15,intermediate,novice,-1%,None,Over,10,19:41,43:30,1:42:11,3:44:52,44,0.82,1.28,1.73,-6.2,-313,
Speed,1.15,intermediate,novice,-1%,None,None,N/A,19:48,43:56,1:43:40,3:50:05,43.27,0.8,1.26,1.7,0,0,
Speed,1.15,intermediate,intermediate,-2%,Weak,Under,2,19:46,42:19,1:35:08,3:26:51,47.8,0.78,0.97,1.18,10.1,-1254.5,
Speed,1.15,intermediate,intermediate,-2%,Weak,Under,6,19:44,42:24,1:35:31,3:28:40,47.58,0.78,0.97,1.17,8.3,-1145.6,
Speed,1.15,intermediate,intermediate,-2%,Weak,Under,10,19:43,42:26,1:35:31,3:29:42,47.58,0.78,0.97,1.17,7,-1083.5,
Speed,1.15,intermediate,intermediate,-2%,Weak,Aligned,2,19:32,41:52,1:34:12,3:25:11,48.35,0.79,0.98,1.19,-3.5,-1354.2,
Speed,1.15,intermediate,intermediate,-2%,Weak,Aligned,6,19:37,42:10,1:35:01,3:27:47,47.87,0.78,0.97,1.18,1,-1198.9,
Speed,1.15,intermediate,intermediate,-2%,Weak,Aligned,10,19:41,42:23,1:35:26,3:29:33,47.63,0.78,0.97,1.17,5.8,-1092.3,
Speed,1.15,intermediate,intermediate,-2%,Weak,Over,2,19:20,41:28,1:33:20,3:23:40,48.87,0.8,1,1.2,-15.9,-1445.3,
Speed,1.15,intermediate,intermediate,-2%,Weak,Over,6,19:30,41:57,1:34:33,3:26:58,48.14,0.79,0.98,1.19,-5.6,-1247.7,
Speed,1.15,intermediate,intermediate,-2%,Weak,Over,10,19:40,42:21,1:35:21,3:29:25,47.68,0.78,0.97,1.17,4.7,-1100.3,
Speed,1.15,intermediate,intermediate,-2%,Weak,None,N/A,19:42,42:31,1:35:10,3:29:13,47.78,0.78,0.97,1.18,6.2,-1112.7,
Speed,1.15,intermediate,intermediate,-2%,Aligned,Under,2,19:27,41:38,1:33:32,3:22:29,48.76,0.8,0.99,1.2,-8,-1516.7,
Speed,1.15,intermediate,intermediate,-2%,Aligned,Under,6,19:22,41:35,1:33:39,3:23:49,48.69,0.79,0.99,1.2,-13.6,-1436.9,
Speed,1.15,intermediate,intermediate,-2%,Aligned,Under,10,19:15,41:26,1:33:15,3:24:09,48.92,0.8,1,1.2,-20.3,-1416.6,
Speed,1.15,intermediate,intermediate,-2%,Aligned,Aligned,2,19:14,41:11,1:32:35,3:20:49,49.33,0.81,1,1.21,-21.6,-1616.4,
Speed,1.15,intermediate,intermediate,-2%,Aligned,Aligned,6,19:15,41:21,1:33:08,3:22:55,48.99,0.8,1,1.21,-20.8,-1490.3,
Speed,1.15,intermediate,intermediate,-2%,Aligned,Aligned,10,19:14,41:24,1:33:10,3:24:00,48.97,0.8,1,1.21,-21.5,-1425.3,
Speed,1.15,intermediate,intermediate,-2%,Aligned,Over,2,19:02,40:46,1:31:43,3:19:18,49.87,0.81,1.02,1.23,-33.9,-1707.4,
Speed,1.15,intermediate,intermediate,-2%,Aligned,Over,6,19:08,41:08,1:32:41,3:22:07,49.27,0.8,1,1.21,-27.5,-1539,
Speed,1.15,intermediate,intermediate,-2%,Aligned,Over,10,19:13,41:21,1:33:06,3:23:52,49.02,0.8,1,1.21,-22.6,-1433.4,
Speed,1.15,intermediate,intermediate,-2%,Aligned,None,N/A,19:16,41:34,1:32:44,3:23:18,49.24,0.8,1,1.21,-19.7,-1467.2,
Speed,1.15,intermediate,intermediate,-2%,Strong,Under,2,19:11,41:00,1:32:03,3:18:29,49.66,0.81,1.01,1.22,-24.5,-1756.1,
Speed,1.15,intermediate,intermediate,-2%,Strong,Under,6,19:02,40:51,1:31:56,3:19:23,49.74,0.81,1.01,1.22,-33.6,-1702.9,
Speed,1.15,intermediate,intermediate,-2%,Strong,Under,10,18:50,40:31,1:31:12,3:19:05,50.2,0.82,1.02,1.24,-45.2,-1720.7,
Speed,1.15,intermediate,intermediate,-2%,Strong,Aligned,2,18:57,40:33,1:31:06,3:16:50,50.25,0.82,1.02,1.24,-38.1,-1855.7,
Speed,1.15,intermediate,intermediate,-2%,Strong,Aligned,6,18:55,40:36,1:31:25,3:18:29,50.05,0.82,1.02,1.23,-40.8,-1756.3,
Speed,1.15,intermediate,intermediate,-2%,Strong,Aligned,10,18:49,40:29,1:31:07,3:18:56,50.25,0.82,1.02,1.24,-46.4,-1729.5,
Speed,1.15,intermediate,intermediate,-2%,Strong,Over,2,18:45,40:09,1:30:15,3:15:19,50.81,0.83,1.03,1.25,-50.5,-1946.8,
Speed,1.15,intermediate,intermediate,-2%,Strong,Over,6,18:48,40:23,1:30:58,3:17:40,50.35,0.82,1.03,1.24,-47.4,-1805,
Speed,1.15,intermediate,intermediate,-2%,Strong,Over,10,18:48,40:27,1:31:02,3:18:48,50.3,0.82,1.02,1.24,-47.5,-1737.5,
Speed,1.15,intermediate,intermediate,-2%,Strong,None,N/A,18:52,40:41,1:30:30,3:17:55,50.64,0.83,1.03,1.25,-43.2,-1790.9,
Speed,1.15,intermediate,intermediate,-2%,None,Under,2,19:46,42:33,1:37:12,3:27:22,46.63,0.76,0.95,1.15,10.7,-1223.1,
Speed,1.15,intermediate,intermediate,-2%,None,Under,6,19:43,42:52,1:39:04,3:34:03,45.61,0.74,0.93,1.12,7,-822.7,
Speed,1.15,intermediate,novice,-2%,None,Under,10,19:37,43:20,1:41:46,3:44:11,44.21,0.82,1.29,1.74,1.7,-214.1,
Speed,1.15,intermediate,intermediate,-2%,None,Aligned,2,19:21,41:39,1:35:12,3:22:40,47.77,0.78,0.97,1.18,-14.7,-1505.5,
Speed,1.15,intermediate,intermediate,-2%,None,Aligned,6,19:26,42:17,1:37:45,3:30:53,46.32,0.76,0.94,1.14,-9.6,-1012.7,
Speed,1.15,intermediate,novice,-2%,None,Aligned,10,19:33,43:12,1:41:27,3:43:22,44.37,0.82,1.29,1.75,-2.3,-263.5,
Speed,1.15,intermediate,intermediate,-2%,None,Over,2,18:58,40:50,1:33:22,3:18:22,48.85,0.8,0.99,1.2,-37.8,-1763.5,
Speed,1.15,intermediate,intermediate,-2%,None,Over,6,19:11,41:45,1:36:33,3:27:59,46.99,0.77,0.96,1.16,-24.8,-1186.1,
Speed,1.15,intermediate,novice,-2%,None,Over,10,19:29,43:04,1:41:09,3:42:37,44.52,0.83,1.3,1.75,-6,-308.6,
Speed,1.15,intermediate,novice,-2%,None,None,N/A,19:36,43:29,1:42:38,3:47:46,43.78,0.81,1.28,1.73,0,0,
Speed,1.15,intermediate,intermediate,-3%,Weak,Under,2,19:33,41:52,1:34:07,3:24:35,48.4,0.79,0.99,1.19,9.3,-1251,
Speed,1.15,intermediate,intermediate,-3%,Weak,Under,6,19:31,41:56,1:34:29,3:26:22,48.19,0.79,0.98,1.19,7.4,-1144.2,
Speed,1.15,intermediate,intermediate,-3%,Weak,Under,10,19:29,41:57,1:34:27,3:27:22,48.2,0.79,0.98,1.19,6,-1084.3,
Speed,1.15,intermediate,intermediate,-3%,Weak,Aligned,2,19:19,41:25,1:33:10,3:22:55,48.97,0.8,1,1.21,-4.2,-1350.7,
Speed,1.15,intermediate,intermediate,-3%,Weak,Aligned,6,19:24,41:42,1:33:59,3:25:28,48.49,0.79,0.99,1.19,0.2,-1197.6,
Speed,1.15,intermediate,intermediate,-3%,Weak,Aligned,10,19:28,41:55,1:34:22,3:27:13,48.25,0.79,0.98,1.19,4.8,-1093.1,
Speed,1.15,intermediate,intermediate,-3%,Weak,Over,2,19:07,41:00,1:32:19,3:21:24,49.5,0.81,1.01,1.22,-16.6,-1441.7,
Speed,1.15,intermediate,intermediate,-3%,Weak,Over,6,19:17,41:29,1:33:31,3:24:40,48.76,0.8,0.99,1.2,-6.4,-1246.3,
Speed,1.15,intermediate,intermediate,-3%,Weak,Over,10,19:27,41:53,1:34:18,3:27:05,48.29,0.79,0.98,1.19,3.7,-1101.1,
Speed,1.15,intermediate,intermediate,-3%,Weak,None,N/A,19:29,42:03,1:34:07,3:26:52,48.4,0.79,0.99,1.19,5.2,-1114,
Speed,1.15,intermediate,intermediate,-3%,Aligned,Under,2,19:16,41:14,1:32:38,3:20:36,49.3,0.8,1,1.21,-7.2,-1490.3,
Speed,1.15,intermediate,intermediate,-3%,Aligned,Under,6,19:11,41:12,1:32:46,3:21:56,49.22,0.8,1,1.21,-12.5,-1410.2,
Speed,1.15,intermediate,intermediate,-3%,Aligned,Under,10,19:05,41:03,1:32:24,3:22:18,49.44,0.81,1.01,1.22,-18.9,-1388.4,
Speed,1.15,intermediate,intermediate,-3%,Aligned,Aligned,2,19:03,40:47,1:31:42,3:18:56,49.88,0.81,1.02,1.23,-20.7,-1590,
Speed,1.15,intermediate,intermediate,-3%,Aligned,Aligned,6,19:04,40:57,1:32:16,3:21:02,49.53,0.81,1.01,1.22,-19.8,-1463.6,
Speed,1.15,intermediate,intermediate,-3%,Aligned,Aligned,10,19:03,41:01,1:32:19,3:22:09,49.5,0.81,1.01,1.22,-20.1,-1397.2,
Speed,1.15,intermediate,intermediate,-3%,Aligned,Over,2,18:50,40:22,1:30:50,3:17:25,50.43,0.82,1.03,1.24,-33.1,-1681.1,
Speed,1.15,intermediate,intermediate,-3%,Aligned,Over,6,18:57,40:44,1:31:48,3:20:14,49.82,0.81,1.01,1.23,-26.4,-1512.3,
Speed,1.15,intermediate,intermediate,-3%,Aligned,Over,10,19:02,40:58,1:32:14,3:22:01,49.54,0.81,1.01,1.22,-21.2,-1405.2,
Speed,1.15,intermediate,intermediate,-3%,Aligned,None,N/A,19:05,41:10,1:31:53,3:21:28,49.76,0.81,1.01,1.23,-18.4,-1437.7,
Speed,1.15,intermediate,intermediate,-3%,Strong,Under,2,19:00,40:36,1:31:10,3:16:36,50.22,0.82,1.02,1.24,-23.7,-1729.7,
Speed,1.15,intermediate,intermediate,-3%,Strong,Under,6,18:51,40:27,1:31:03,3:17:30,50.29,0.82,1.02,1.24,-32.5,-1676.2,
Speed,1.15,intermediate,intermediate,-3%,Strong,Under,10,18:40,40:08,1:30:20,3:17:14,50.75,0.83,1.03,1.25,-43.9,-1692.5,
Speed,1.15,intermediate,intermediate,-3%,Strong,Aligned,2,18:46,40:09,1:30:13,3:14:57,50.83,0.83,1.04,1.25,-37.2,-1829.4,
Speed,1.15,intermediate,intermediate,-3%,Strong,Aligned,6,18:44,40:13,1:30:33,3:16:36,50.62,0.83,1.03,1.25,-39.8,-1729.6,
Speed,1.15,intermediate,intermediate,-3%,Strong,Aligned,10,18:38,40:06,1:30:15,3:17:05,50.8,0.83,1.03,1.25,-45.1,-1701.3,
Speed,1.15,intermediate,intermediate,-3%,Strong,Over,2,18:34,39:45,1:29:22,3:13:26,51.39,0.84,1.05,1.27,-49.6,-1920.4,
Speed,1.15,intermediate,intermediate,-3%,Strong,Over,6,18:37,40:00,1:30:05,3:15:48,50.92,0.83,1.04,1.25,-46.4,-1778.3,
Speed,1.15,intermediate,intermediate,-3%,Strong,Over,10,18:37,40:04,1:30:11,3:16:57,50.85,0.83,1.04,1.25,-46.2,-1709.3,
Speed,1.15,intermediate,intermediate,-3%,Strong,None,N/A,18:42,40:18,1:29:39,3:16:05,51.19,0.84,1.04,1.26,-42,-1761.4,
Speed,1.15,intermediate,intermediate,-3%,None,Under,2,19:34,42:07,1:36:13,3:25:16,47.18,0.77,0.96,1.16,10.7,-1210.3,
Speed,1.15,intermediate,intermediate,-3%,None,Under,6,19:30,42:26,1:38:04,3:31:52,46.16,0.75,0.94,1.14,7,-814,
Speed,1.15,intermediate,novice,-3%,None,Under,10,19:25,42:54,1:40:43,3:41:54,44.74,0.83,1.3,1.76,1.7,-211.8,
Speed,1.15,intermediate,intermediate,-3%,None,Aligned,2,19:09,41:13,1:34:12,3:20:33,48.35,0.79,0.98,1.19,-14.7,-1492.7,
Speed,1.15,intermediate,intermediate,-3%,None,Aligned,6,19:14,41:51,1:36:45,3:28:42,46.88,0.77,0.95,1.15,-9.7,-1004,
Speed,1.15,intermediate,novice,-3%,None,Aligned,10,19:21,42:45,1:40:24,3:41:05,44.91,0.83,1.31,1.77,-2.3,-261.2,
Speed,1.15,intermediate,intermediate,-3%,None,Over,2,18:46,40:24,1:32:23,3:16:15,49.46,0.81,1.01,1.22,-37.9,-1750.6,
Speed,1.15,intermediate,intermediate,-3%,None,Over,6,18:59,41:19,1:35:33,3:25:49,47.57,0.78,0.97,1.17,-24.9,-1177.5,
Speed,1.15,intermediate,intermediate,-3%,None,Over,10,19:17,42:37,1:40:07,3:40:20,45.06,0.74,0.92,1.11,-6,-306.4,
Speed,1.15,intermediate,novice,-3%,None,None,N/A,19:24,43:03,1:41:35,3:45:26,44.3,0.82,1.29,1.75,0,0,
Speed,1.15,intermediate,intermediate,-5%,Weak,Under,2,19:09,41:00,1:32:12,3:20:26,49.57,0.81,1.01,1.22,9.4,-1221,
Speed,1.15,intermediate,intermediate,-5%,Weak,Under,6,19:07,41:05,1:32:34,3:22:11,49.34,0.81,1,1.21,7.6,-1116.2,
Speed,1.15,intermediate,intermediate,-5%,Weak,Under,10,19:06,41:06,1:32:33,3:23:10,49.36,0.81,1.01,1.22,6.3,-1057,
Speed,1.15,intermediate,intermediate,-5%,Weak,Aligned,2,18:56,40:35,1:31:18,3:18:51,50.13,0.82,1.02,1.23,-3.5,-1316.4,
Speed,1.15,intermediate,intermediate,-5%,Weak,Aligned,6,19:00,40:52,1:32:05,3:21:20,49.64,0.81,1.01,1.22,0.7,-1167.2,
Speed,1.15,intermediate,intermediate,-5%,Weak,Aligned,10,19:05,41:04,1:32:28,3:23:02,49.4,0.81,1.01,1.22,5.1,-1065.4,
Speed,1.15,intermediate,intermediate,-5%,Weak,Over,2,18:44,40:11,1:30:29,3:17:24,50.66,0.83,1.03,1.25,-15.3,-1403.1,
Speed,1.15,intermediate,intermediate,-5%,Weak,Over,6,18:54,40:39,1:31:38,3:20:34,49.92,0.81,1.02,1.23,-5.6,-1213.6,
Speed,1.15,intermediate,intermediate,-5%,Weak,Over,10,19:04,41:02,1:32:23,3:22:54,49.45,0.81,1.01,1.22,4.1,-1073,
Speed,1.15,intermediate,intermediate,-5%,Weak,None,N/A,19:05,41:11,1:32:13,3:22:41,49.56,0.81,1.01,1.22,5.5,-1085.8,
Speed,1.15,intermediate,intermediate,-5%,Aligned,Under,2,18:53,40:24,1:30:47,3:16:35,50.47,0.82,1.03,1.24,-6.5,-1451.9,
Speed,1.15,intermediate,intermediate,-5%,Aligned,Under,6,18:48,40:22,1:30:54,3:17:54,50.38,0.82,1.03,1.24,-11.6,-1372.7,
Speed,1.15,intermediate,intermediate,-5%,Aligned,Under,10,18:42,40:14,1:30:33,3:18:17,50.61,0.83,1.03,1.25,-17.8,-1350.2,
Speed,1.15,intermediate,intermediate,-5%,Aligned,Aligned,2,18:40,39:58,1:29:53,3:15:00,51.05,0.83,1.04,1.26,-19.4,-1547.2,
Speed,1.15,intermediate,intermediate,-5%,Aligned,Aligned,6,18:41,40:09,1:30:25,3:17:03,50.69,0.83,1.03,1.25,-18.6,-1423.7,
Speed,1.15,intermediate,intermediate,-5%,Aligned,Aligned,10,18:41,40:12,1:30:29,3:18:09,50.66,0.83,1.03,1.25,-18.9,-1358.6,
